node1,node2,edge
359,2448,0.0
252,5136,0.0
254,6059,0.0
307,2374,0.0
370,6599,0.0
16,879,0.0
351,730,0.0
274,2784,0.0
242,1312,0.0
317,4087,0.0
232,1388,0.0
244,7148,0.0
190,4961,0.0
302,1858,0.0
214,856,0.0
211,1339,0.0
237,210,0.0
188,1256,0.0
723,5149,0.0
191,6009,0.0
259,5261,0.0
722,5950,0.0
319,3107,0.0
316,3321,0.0
253,3299,0.0
372,1130,0.0
226,5813,0.0
370,6845,0.0
725,713,0.0
333,5708,0.0
191,567,0.0
330,1377,0.0
269,5402,0.0
191,3227,0.0
295,7048,0.0
207,3232,0.0
263,2211,0.0
308,6604,0.0
326,6684,0.0
232,4060,0.0
243,1349,0.0
186,3913,0.0
227,4926,0.0
299,3808,0.0
29,1833,0.0
226,5862,0.0
224,6449,0.0
311,2954,0.0
372,7202,0.0
308,1166,0.0
263,5893,0.0
283,3703,0.0
263,6264,0.0
209,1637,0.0
261,3448,0.0
252,4617,0.0
302,264,0.0
295,4938,0.0
270,784,0.0
277,1068,0.0
257,3853,0.0
190,1385,0.0
299,5968,0.0
339,2626,0.0
310,4897,0.0
270,28,0.0
725,6482,0.0
693,4811,0.0
297,2110,0.0
307,2651,0.0
326,3856,0.0
317,3984,0.0
744,855,0.0
300,5247,0.0
722,5833,0.0
188,5316,0.0
253,2589,0.0
272,4424,0.0
238,506,0.0
237,4262,0.0
205,920,0.0
188,4829,0.0
247,1699,0.0
279,4868,0.0
228,4532,0.0
300,5329,0.0
318,4494,0.0
340,360,0.0
212,5522,0.0
246,729,0.0
239,5815,0.0
252,121,0.0
722,4631,0.0
206,1432,0.0
190,5019,0.0
209,4781,0.0
266,2249,0.0
247,2847,0.0
247,2745,0.0
290,363,0.0
320,1806,0.0
290,3332,0.0
206,6830,0.0
246,2323,0.0
125,4062,0.0
308,2464,0.0
292,560,0.0
242,4890,0.0
303,256,0.0
270,1117,0.0
300,6122,0.0
218,4573,0.0
206,1174,0.0
148,3747,0.0
351,5900,0.0
927,5698,0.0
278,6718,0.0
298,2116,0.0
257,2820,0.0
278,6014,0.0
220,5014,0.0
246,2935,0.0
282,4376,0.0
331,4718,0.0
289,5421,0.0
241,5172,0.0
190,2731,0.0
309,107,0.0
242,197,0.0
318,735,0.0
281,6234,0.0
273,4839,0.0
254,4093,0.0
623,4990,0.0
290,4068,0.0
321,3801,0.0
218,916,0.0
333,1483,0.0
725,744,0.0
263,6675,0.0
252,5142,0.0
225,3606,0.0
213,6219,0.0
212,7119,0.0
313,6954,0.0
286,3278,0.0
29,79,0.0
255,6148,0.0
359,5231,0.0
231,684,0.0
324,5835,0.0
272,5712,0.0
190,3587,0.0
278,6599,0.0
725,6633,0.0
290,2979,0.0
304,5864,0.0
372,1113,0.0
277,4485,0.0
125,2075,0.0
219,212,0.0
294,689,0.0
298,7143,0.0
245,508,0.0
932,5289,0.0
289,3109,0.0
212,590,0.0
287,7166,0.0
248,5554,0.0
190,1958,0.0
307,4177,0.0
249,6172,0.0
323,6878,0.0
257,4851,0.0
327,1228,0.0
291,5784,0.0
217,1827,0.0
304,7132,0.0
291,485,0.0
269,3842,0.0
225,2512,0.0
275,2724,0.0
210,2394,0.0
307,2106,0.0
694,6621,0.0
372,92,0.0
284,6685,0.0
249,2943,0.0
339,6829,0.0
306,380,0.0
280,4233,0.0
298,2144,0.0
331,810,0.0
246,4861,0.0
308,1905,0.0
218,354,0.0
742,1277,0.0
233,2010,0.0
253,3082,0.0
267,6042,0.0
255,6743,0.0
744,3320,0.0
222,5744,0.0
236,4539,0.0
341,3121,0.0
245,1875,0.0
125,3579,0.0
295,6266,0.0
330,1558,0.0
304,3913,0.0
372,4467,0.0
238,6836,0.0
285,7011,0.0
278,4,0.0
208,7122,0.0
300,3663,0.0
312,5201,0.0
322,121,0.0
209,6502,0.0
236,5103,0.0
211,3288,0.0
307,868,0.0
303,1028,0.0
355,4636,0.0
213,363,0.0
372,5911,0.0
313,7194,0.0
218,5563,0.0
228,721,0.0
209,5841,0.0
301,4914,0.0
932,6908,0.0
217,2265,0.0
320,3614,0.0
215,6800,0.0
294,4130,0.0
309,6717,0.0
291,7209,0.0
236,4948,0.0
338,6973,0.0
327,3009,0.0
312,215,0.0
297,1052,0.0
267,2595,0.0
211,2639,0.0
298,888,0.0
242,5651,0.0
226,6282,0.0
189,5386,0.0
278,764,0.0
206,229,0.0
269,1594,0.0
355,1281,0.0
231,3566,0.0
309,1924,0.0
723,6406,0.0
230,6820,0.0
282,4526,0.0
190,3114,0.0
218,1078,0.0
277,1718,0.0
309,3556,0.0
239,4160,0.0
724,5240,0.0
284,5717,0.0
298,6205,0.0
213,3182,0.0
227,5460,0.0
219,5286,0.0
29,1666,0.0
263,1477,0.0
231,4130,0.0
298,802,0.0
266,1989,0.0
233,5364,0.0
932,3252,0.0
218,3867,0.0
333,3047,0.0
249,648,0.0
272,6568,0.0
320,5516,0.0
300,5917,0.0
187,1778,0.0
217,283,0.0
208,5780,0.0
331,3612,0.0
253,5924,0.0
233,4647,0.0
319,144,0.0
281,5532,0.0
231,472,0.0
324,3604,0.0
278,1164,0.0
262,1706,0.0
304,3968,0.0
217,2125,0.0
251,1409,0.0
252,6598,0.0
322,4840,0.0
235,6566,0.0
125,1828,0.0
29,4378,0.0
298,6096,0.0
242,4152,0.0
321,3275,0.0
211,1850,0.0
290,5028,0.0
230,2634,0.0
286,6259,0.0
338,3913,0.0
320,4796,0.0
249,4160,0.0
234,1833,0.0
302,2,0.0
209,4859,0.0
285,830,0.0
334,7186,0.0
229,5140,0.0
693,6936,0.0
205,933,0.0
236,2588,0.0
268,7104,0.0
265,7154,0.0
329,4353,0.0
241,3493,0.0
299,2612,0.0
219,725,0.0
299,5547,0.0
231,2182,0.0
237,7077,0.0
268,2289,0.0
244,1768,0.0
261,4289,0.0
209,2701,0.0
314,1480,0.0
148,1780,0.0
25,117,1.0
32,2663,1.0
32,1183,1.0
62,3239,1.0
374,1184,1.0
158,2752,1.0
364,1006,1.0
165,1859,1.0
71,1264,1.0
364,1827,1.0
32,2249,1.0
32,1028,1.0
71,234,1.0
32,2955,1.0
204,246,1.0
32,2398,1.0
70,1119,1.0
71,1869,1.0
71,360,1.0
185,2554,1.0
9,2963,1.0
374,2752,1.0
32,1896,1.0
70,832,1.0
71,1680,1.0
69,760,1.0
158,2366,1.0
71,889,1.0
71,862,1.0
71,1464,1.0
32,1715,1.0
71,2643,1.0
32,2366,1.0
25,2463,1.0
71,1029,1.0
