node1,node2,edge
151,2841,1.0
151,2874,1.0
151,780,1.0
151,1183,1.0
155,2346,1.0
151,319,1.0
155,2669,1.0
151,1242,1.0
377,1576,0.0
122,1378,0.0
122,1700,0.0
151,1847,0.0
156,1481,0.0
154,177,0.0
122,1527,0.0
122,656,0.0
122,2141,0.0
154,825,0.0
156,1048,0.0
152,1896,0.0
153,2894,0.0
122,1896,0.0
133,2445,0.0
153,1141,0.0
122,374,0.0
156,1152,0.0
153,2316,0.0
154,673,0.0
133,755,0.0
154,743,0.0
122,1199,0.0
152,2356,0.0
154,2477,0.0
151,466,0.0
122,1814,0.0
153,1452,0.0
156,2580,0.0
151,2535,0.0
151,3326,0.0
151,1275,0.0
151,1141,0.0
133,1681,0.0
122,1249,0.0
156,877,0.0
377,2031,0.0
155,1003,0.0
151,754,0.0
153,3064,0.0
133,604,0.0
152,225,0.0
133,3409,0.0
152,64,0.0
156,2619,0.0
155,233,0.0
377,2101,0.0
377,2965,0.0
377,1705,0.0
153,2436,0.0
122,607,0.0
152,977,0.0
153,3236,0.0
154,922,0.0
133,2034,0.0
153,645,0.0
133,1980,0.0
133,1047,0.0
151,2481,0.0
152,3379,0.0
154,2465,0.0
122,430,0.0
154,6876,0.0
156,1137,0.0
154,1171,0.0
153,2365,0.0
377,2573,0.0
122,2679,0.0
122,183,0.0
152,3321,0.0
133,2481,0.0
151,1019,0.0
377,1678,0.0
151,2023,0.0
151,2145,0.0
377,2868,0.0
156,614,0.0
153,2457,0.0
133,2843,0.0
155,86,0.0
156,2374,0.0
156,195,0.0
154,1703,0.0
156,3302,0.0
154,2132,0.0
377,19,0.0
122,1658,0.0
377,3104,0.0
152,3071,0.0
151,1876,0.0
155,1356,0.0
153,2329,0.0
133,85,0.0
153,413,0.0
155,2943,0.0
151,3045,0.0
156,2547,0.0
155,2662,0.0
155,2700,0.0
133,46,0.0
133,3197,0.0
151,2776,0.0
153,36,0.0
156,1140,0.0
151,1137,0.0
152,2276,0.0
153,1151,0.0
156,1898,0.0
151,1366,0.0
156,409,0.0
122,1508,0.0
377,2239,0.0
154,2546,0.0
151,2394,0.0
377,368,0.0
133,2023,0.0
154,2815,0.0
152,2605,0.0
154,2751,0.0
152,2533,0.0
155,3117,0.0
156,941,0.0
122,2902,0.0
151,669,0.0
156,702,0.0
122,3403,0.0
155,2357,0.0
122,851,0.0
154,3339,0.0
122,1726,0.0
155,2248,0.0
153,2816,0.0
154,2487,0.0
155,1446,0.0
152,1516,0.0
152,1461,0.0
151,386,0.0
377,2538,0.0
154,486,0.0
152,287,0.0
122,136,0.0
122,1677,0.0
151,3318,0.0
153,1215,0.0
156,1005,0.0
155,1408,0.0
151,3110,0.0
155,999,0.0
155,3021,0.0
154,3311,0.0
122,242,0.0
151,1051,0.0
151,2713,0.0
156,1360,0.0
155,1947,0.0
155,1502,0.0
151,109,0.0
155,3083,0.0
122,284,0.0
155,2860,0.0
152,2103,0.0
154,565,0.0
122,2995,0.0
153,2713,0.0
156,2918,0.0
122,1302,0.0
122,398,0.0
122,3186,0.0
154,1981,0.0
151,2210,0.0
152,1467,0.0
155,2626,0.0
152,1948,0.0
151,2369,0.0
151,2082,0.0
122,684,0.0
122,2000,0.0
152,1004,0.0
122,1636,0.0
151,310,0.0
152,876,0.0
377,1212,0.0
156,2412,0.0
156,3159,0.0
154,1273,0.0
152,353,0.0
377,2776,0.0
377,2989,0.0
156,864,0.0
154,2744,0.0
152,3416,0.0
154,482,0.0
155,1102,0.0
377,3396,0.0
151,2028,0.0
151,598,0.0
153,1880,0.0
155,908,0.0
152,611,0.0
152,3095,0.0
122,2615,0.0
153,733,0.0
152,140,0.0
133,2052,0.0
153,2823,0.0
152,2994,0.0
156,1019,0.0
153,3162,0.0
133,1093,0.0
377,541,0.0
122,857,0.0
156,1994,0.0
133,76,0.0
154,2127,0.0
151,2724,0.0
377,1245,0.0
155,1989,0.0
154,1368,0.0
156,328,0.0
153,705,0.0
377,1808,0.0
151,1605,0.0
155,3177,0.0
377,329,0.0
155,92,0.0
377,2018,0.0
155,1019,0.0
152,1581,0.0
122,2800,0.0
156,70,0.0
133,3165,0.0
377,2997,0.0
377,1008,0.0
152,2726,0.0
122,878,0.0
377,3342,0.0
154,2425,0.0
151,135,0.0
